series_name,number_of_urchins,average_overall,average_width_1,average_width_2,date,time,parameter_values
Series A,6,0.980147584482587,0.967119640645926,0.993175528319248,05/04/2022,13:22:43,"{'hue_min': 0, 'hue_max': 13, 'saturation_min': 23, 'saturation_max': 239, 'value_min': 0, 'value_max': 77, 'dilation_iterations': 1, 'erosion_iterations': 1, 'kernel_blur': (7, 7), 'Dilation/erosion kernel': (12, 12), 'Minimum contour area: coefficient': 5, 'Minimum contour area: power': 4, 'Canny value: min': 50, 'Canny value: max': 80, 'Action sequence': ['d', 'd', 'd', 'e', 'f']}"
Series B,8,0.8213457201910672,0.4992871860055599,1.1434042543765746,05/04/2022,13:23:30,"{'hue_min': 0, 'hue_max': 13, 'saturation_min': 23, 'saturation_max': 239, 'value_min': 0, 'value_max': 77, 'dilation_iterations': 1, 'erosion_iterations': 1, 'kernel_blur': (7, 7), 'Dilation/erosion kernel': (12, 12), 'Minimum contour area: coefficient': 5, 'Minimum contour area: power': 4, 'Canny value: min': 50, 'Canny value: max': 80, 'Action sequence': ['d', 'd', 'd', 'd', 'e', 'f']}"
